"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","环境列表","12","0","","0"
"0","","0","注册功能","10","0","","0"
"0","","0","登录功能","10","0","","0"
"0","","0","项目列表","12","0","","0"
"0","","0","添加模块","4","0","","0"
"0","","0","添加项目","8","0","","0"
"1","","0","","0","0","","0"
